state_abr,fips,county,square_km,lat,lng
OK,4079,Le Flore,"4.166,06",34.899642,-94.703491
OK,40135,Sequoyah,"1.849,65",35.502435,-94.750757
OK,4089,McCurtain,"4.927,13",34.117073,-94.766086
OK,40115,Ottawa,"1.255,13",36.835764,-94.802681
OK,4041,Delaware,"2.052,07",36.393369,-94.808206
OK,4021,Cherokee,"2.010,58",35.904367,-94.996796
OK,4061,Haskell,"1.619,45",35.232294,-95.109578
OK,4035,Craig,"1.975,60",36.76389,-95.201553
OK,4097,Mayes,"1.770,29",36.303804,-95.235638
OK,4077,Latimer,"1.888,39",34.875137,-95.272263
OK,40101,Muskogee,"2.175,02",35.617551,-95.383911
OK,40127,Pushmataha,"3.685,19",34.377896,-95.408085
OK,40145,Wagoner,"1.529,84",35.963479,-95.5141
OK,4023,Choctaw,"2.070,88",34.027645,-95.554208
OK,40131,Rogers,"1.842,77",36.378082,-95.601337
OK,40105,Nowata,"1.504,22",36.789615,-95.613312
OK,4091,McIntosh,"1.844,81",35.369092,-95.671764
OK,40121,Pittsburg,"3.568,55",34.92554,-95.74813
OK,40147,Washington,"1.098,85",36.70438,-95.906155
OK,40143,Tulsa,"1.520,37",36.120121,-95.941731
OK,40111,Okmulgee,"1.819,04",35.646879,-95.96458
OK,405,Atoka,"2.563,86",34.374813,-96.034705
OK,4063,Hughes,"2.110,53",35.052934,-96.251183
OK,4013,Bryan,"2.444,80",33.964004,-96.264137
OK,4029,Coal,"1.350,28",34.582861,-96.288039
OK,40107,Okfuskee,"1.628,77",35.466804,-96.327762
OK,4037,Creek,"2.511,84",35.907732,-96.379793
OK,40113,Osage,"5.967,27",36.62468,-96.408385
OK,40133,Seminole,"1.658,82",35.158366,-96.602858
OK,4069,Johnston,"1.704,85",34.313455,-96.654255
OK,40123,Pontotoc,"1.878,32",34.721071,-96.692738
OK,40117,Pawnee,"1.540,43",36.313704,-96.696669
